song_name,song_position,artist_name,playlist_year,danceability,valence,speechiness
Your Number REMIX (feat. Chris Brown & Kid Ink),100,Ayo Jay,Top Songs 2017,0.752,0.746,0.121
Just My Type,1,The Vamps,Top Songs 2018,0.61,0.523,0.0693
Next To Me,2,Imagine Dragons,Top Songs 2018,0.296,0.398,0.0632
No vaya a ser,3,Pablo Alborán,Top Songs 2018,0.731,0.577,0.0586
Mama Look at Me Now,4,Galantis,Top Songs 2018,0.59,0.4,0.0384
Side Effects (feat. Emily Warren),5,The Chainsmokers,Top Songs 2018,0.673,0.54,0.0324
OTW,6,Khalid,Top Songs 2018,0.652,0.28,0.0541
Better Man,7,5 Seconds of Summer,Top Songs 2018,0.676,0.529,0.0828
The Last Of The Real Ones,8,Fall Out Boy,Top Songs 2018,0.572,0.546,0.0481
Say Something (feat. Chris Stapleton),9,Justin Timberlake,Top Songs 2018,0.707,0.372,0.0789
Rise,10,Jonas Blue,Top Songs 2018,0.69,0.669,0.032
Freaky Friday (feat. Chris Brown),11,Lil Dicky,Top Songs 2018,0.755,0.755,0.224
We Don't Care,12,Sigala,Top Songs 2018,0.423,0.655,0.275
Happier,13,Marshmello,Top Songs 2018,0.687,0.671,0.0452
Tie Me Down (with Elley Duhé),14,Gryffin,Top Songs 2018,0.548,0.314,0.0644
Sober Up (Feat. Rivers Cuomo),15,AJR,Top Songs 2018,0.648,0.772,0.0276
I'll Be There,16,Jess Glynne,Top Songs 2018,0.623,0.4,0.0409
Eastside (with Halsey & Khalid),17,benny blanco,Top Songs 2018,0.56,0.319,0.321
Youngblood,18,5 Seconds of Summer,Top Songs 2018,0.596,0.152,0.463
Growing Pains,19,Alessia Cara,Top Songs 2018,0.353,0.437,0.733
8 Vasos Al Día,20,Casi Creativo,Top Songs 2018,0.553,0.891,0.0696
I Just Can't,21,R3HAB,Top Songs 2018,0.652,0.303,0.0419
High On Life (feat. Bonn),22,Martin Garrix,Top Songs 2018,0.414,0.368,0.0311
Satisfied (feat. MAX),23,Galantis,Top Songs 2018,0.75,0.928,0.121
Body,24,Loud Luxury,Top Songs 2018,0.752,0.582,0.038
Pray For Me (with Kendrick Lamar),25,The Weeknd,Top Songs 2018,0.734,0.165,0.0871
Wanna Be Startin' Somethin',26,Michael Jackson,Top Songs 2018,0.846,0.899,0.0438
"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",27,Rudimental,Top Songs 2018,0.653,0.55,0.0474
La Mujer Perfecta,28,KURT,Top Songs 2018,0.824,0.878,0.0669
Babylon,29,5 Seconds of Summer,Top Songs 2018,0.521,0.494,0.0403
Candy Paint,30,Post Malone,Top Songs 2018,0.765,0.434,0.0841
Happy Now,31,Zedd,Top Songs 2018,0.503,0.458,0.047
I Like The Way,32,Tyron Hapi,Top Songs 2018,0.676,0.402,0.168
Sk8er Boi,33,Avril Lavigne,Top Songs 2018,0.487,0.484,0.0482
Milo,34,Residente,Top Songs 2018,0.617,0.593,0.0598
El Triste - Sinfónico,35,José José,Top Songs 2018,0.42,0.186,0.0364
"Gone, Gone, Gone",36,Phillip Phillips,Top Songs 2018,0.664,0.501,0.038
REMEDY,37,Alesso,Top Songs 2018,0.601,0.483,0.0473
Woman Like Me (feat. Nicki Minaj),38,Little Mix,Top Songs 2018,0.757,0.826,0.0536
1-800-273-8255,39,Logic,Top Songs 2018,0.62,0.357,0.0479
Kiss and Make Up,40,Dua Lipa,Top Songs 2018,0.678,0.643,0.137
Cold (feat. Future),41,Maroon 5,Top Songs 2018,0.699,0.52,0.116
Friend Of Mine (feat. Vargas & Lagola),42,Avicii,Top Songs 2018,0.701,0.666,0.056
Vivaldi: Winter From The Four Seasons 1. Allegro Non Molto,43,Silverwood Quartet,Top Songs 2018,0.487,0.126,0.0589
Cheers (Drink To That),44,Rihanna,Top Songs 2018,0.576,0.727,0.0403
Hércules,45,Rodrigo Septién,Top Songs 2018,0.642,0.754,0.401
I'll Supply the Love,46,TOTO,Top Songs 2018,0.741,0.769,0.0306
Black Eyes,47,Bradley Cooper,Top Songs 2018,0.373,0.46,0.0834
Desencuentro (feat. Soko),48,Residente,Top Songs 2018,0.379,0.361,0.0798
Up (feat. Demi Lovato),49,Olly Murs,Top Songs 2018,0.69,0.638,0.0339
Drunken Hearts,50,Wallpaper.,Top Songs 2018,0.634,0.525,0.0604
You Can't Hold Me Down,51,Mogli the Iceburg,Top Songs 2018,0.748,0.806,0.124
Maps,52,Maroon 5,Top Songs 2018,0.742,0.879,0.0303
I Got U,53,Duke Dumont,Top Songs 2018,0.636,0.463,0.035
Hallelujah,54,Logic,Top Songs 2018,0.674,0.46,0.195
I'm with You,55,Avril Lavigne,Top Songs 2018,0.457,0.208,0.0291
The Middle,56,Zedd,Top Songs 2018,0.753,0.437,0.0449
Wake Me up When September Ends,57,Green Day,Top Songs 2018,0.546,0.146,0.0314
Safe And Sound,58,Capital Cities,Top Songs 2018,0.655,0.766,0.0316
Dirty Paws,59,Of Monsters and Men,Top Songs 2018,0.359,0.133,0.035
Dagombas en Tamale,60,Residente,Top Songs 2018,0.608,0.726,0.194
